,num_acc_by_area,grav_mean
677,2.0,4.0
678,0.0,0.0
679,3.0,4.0
680,0.0,0.0
681,1.0,4.0
682,1.0,2.5
683,1.0,4.0
684,0.0,1.0
685,0.0,0.0
686,6.0,2.5714285714285716
687,0.0,4.0
688,0.0,0.0
689,0.0,0.0
690,5.0,4.0
691,4.0,3.25
692,0.0,4.0
693,0.0,0.0
694,0.0,4.0
695,0.0,4.0
696,5.0,4.0
697,1.0,3.5
698,1.0,4.0
699,5.0,3.0
700,3.0,4.0
701,0.0,0.0
702,0.0,4.0
703,3.0,4.0
704,0.0,0.0
705,5.0,3.4
706,4.0,3.4
707,5.0,2.5
708,0.0,4.0
709,1.0,3.5
710,2.0,4.0
711,0.0,0.0
712,0.0,0.0
713,0.0,0.0
714,0.0,0.0
715,8.0,3.5714285714285716
716,0.0,0.0
717,2.0,3.6666666666666665
718,4.0,4.0
719,0.0,0.0
720,0.0,0.0
721,5.0,2.5
722,5.0,3.4
723,11.0,3.3636363636363638
724,0.0,4.0
725,2.0,3.0
726,0.0,0.0
727,3.0,4.0
728,1.0,2.5
729,1.0,4.0
730,0.0,0.0
731,0.0,0.0
732,2.0,3.0
733,0.0,4.0
734,2.0,4.0
735,0.0,4.0
736,0.0,0.0
737,0.0,0.0
738,0.0,4.0
739,2.0,3.0
740,7.0,4.0
741,14.0,3.076923076923077
742,0.0,1.0
743,1.0,4.0
744,0.0,0.0
745,0.0,0.0
746,0.0,0.0
747,0.0,4.0
748,5.0,4.0
749,0.0,0.0
750,0.0,0.0
751,2.0,4.0
752,0.0,4.0
753,0.0,1.0
754,0.0,4.0
755,1.0,4.0
756,3.0,3.25
757,0.0,4.0
758,0.0,0.0
759,0.0,4.0
760,3.0,4.0
761,2.0,3.5
762,4.0,3.0
763,1.0,4.0
764,0.0,0.0
765,13.0,3.4285714285714284
766,0.0,0.0
767,0.0,0.0
768,1.0,4.0
769,0.0,4.0
770,0.0,0.0
771,0.0,4.0
772,1.0,4.0
773,6.0,3.5
774,0.0,4.0
775,1.0,4.0
776,3.0,3.25
777,0.0,0.0
778,5.0,3.0
779,5.0,3.4
780,0.0,0.0
781,5.0,4.0
782,8.0,3.625
783,13.0,3.142857142857143
784,13.0,3.75
785,0.0,0.0
786,0.0,0.0
787,0.0,0.0
788,0.0,3.0
789,0.0,4.0
790,0.0,0.0
791,1.0,4.0
792,0.0,4.0
793,0.0,1.0
794,0.0,0.0
795,0.0,0.0
796,1.0,2.5
797,0.0,4.0
798,3.0,4.0
799,0.0,3.0
800,19.0,3.4444444444444446
801,2.0,4.0
802,2.0,4.0
803,0.0,4.0
804,0.0,0.0
805,2.0,4.0
806,3.0,3.25
807,4.0,3.6
808,1.0,2.5
809,1.0,4.0
810,4.0,4.0
811,5.0,3.8
812,0.0,4.0
813,4.0,2.8
814,7.0,3.5
815,0.0,0.0
816,0.0,4.0
817,4.0,2.25
818,7.0,4.0
819,2.0,3.0
820,0.0,0.0
821,8.0,3.25
